"X","year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","employment_rate","salary_range","remotegroup"
112,2021,"SE","FT","Lead Data Engineer",75000,"GBP",103160,"GB",100,"GB","S",75.123565,1e+05,"Remote"
113,2021,"EN","PT","AI Scientist",12000,"USD",12000,"PK",100,"US","M",69.4023875,10000,"Remote"
115,2021,"EN","FT","Machine Learning Scientist",225000,"USD",225000,"US",100,"US","L",69.4023875,220000,"Remote"
118,2021,"EN","FT","Data Analyst",90000,"USD",90000,"US",100,"US","S",69.4023875,90000,"Remote"
119,2021,"MI","FT","Data Engineer",200000,"USD",200000,"US",100,"US","L",69.4023875,2e+05,"Remote"
121,2021,"SE","FT","Principal Data Engineer",200000,"USD",200000,"US",100,"US","M",69.4023875,2e+05,"Remote"
122,2021,"EN","FT","Data Analyst",50000,"USD",50000,"US",100,"US","M",69.4023875,50000,"Remote"
123,2021,"EN","FT","Applied Data Scientist",80000,"GBP",110037,"GB",0,"GB","L",75.123565,110000,"In Person"
125,2021,"MI","FT","Principal Data Scientist",151000,"USD",151000,"US",100,"US","L",69.4023875,150000,"Remote"
126,2021,"SE","FT","Machine Learning Scientist",120000,"USD",120000,"US",50,"US","S",69.4023875,120000,"Hybrid"
131,2021,"EN","FT","Data Scientist",42000,"EUR",49646,"FR",50,"FR","M",67.245315,40000,"Hybrid"
132,2021,"MI","FT","Applied Machine Learning Scientist",38400,"USD",38400,"VN",100,"US","M",69.4023875,30000,"Remote"
134,2021,"EN","FT","Data Scientist",100000,"USD",100000,"US",0,"US","S",69.4023875,1e+05,"In Person"
135,2021,"MI","FT","Data Analyst",90000,"USD",90000,"US",100,"US","M",69.4023875,90000,"Remote"
136,2021,"MI","FT","ML Engineer",7000000,"JPY",63711,"JP",50,"JP","S",77.8797425,60000,"Hybrid"
137,2021,"MI","FT","ML Engineer",8500000,"JPY",77364,"JP",50,"JP","S",77.8797425,70000,"Hybrid"
138,2021,"SE","FT","Principal Data Scientist",220000,"USD",220000,"US",0,"US","L",69.4023875,220000,"In Person"
139,2021,"EN","FT","Data Scientist",80000,"USD",80000,"US",100,"US","M",69.4023875,80000,"Remote"
140,2021,"MI","FT","Data Analyst",135000,"USD",135000,"US",100,"US","L",69.4023875,130000,"Remote"
141,2021,"SE","FT","Data Science Manager",240000,"USD",240000,"US",0,"US","L",69.4023875,240000,"In Person"
142,2021,"SE","FT","Data Engineering Manager",150000,"USD",150000,"US",0,"US","L",69.4023875,150000,"In Person"
143,2021,"MI","FT","Data Scientist",82500,"USD",82500,"US",100,"US","S",69.4023875,80000,"Remote"
144,2021,"MI","FT","Data Engineer",100000,"USD",100000,"US",100,"US","L",69.4023875,1e+05,"Remote"
146,2021,"MI","FT","Research Scientist",53000,"EUR",62649,"FR",50,"FR","M",67.245315,60000,"Hybrid"
147,2021,"MI","FT","Data Engineer",90000,"USD",90000,"US",100,"US","L",69.4023875,90000,"Remote"
148,2021,"SE","FT","Data Engineering Manager",153000,"USD",153000,"US",100,"US","L",69.4023875,150000,"Remote"
149,2021,"SE","FT","Cloud Data Engineer",160000,"USD",160000,"BR",100,"US","S",69.4023875,160000,"Remote"
150,2021,"SE","FT","Director of Data Science",168000,"USD",168000,"JP",0,"JP","S",77.8797425,160000,"In Person"
151,2021,"MI","FT","Data Scientist",150000,"USD",150000,"US",100,"US","M",69.4023875,150000,"Remote"
152,2021,"MI","FT","Data Scientist",95000,"CAD",75774,"CA",100,"CA","L",73.50833,70000,"Remote"
154,2021,"SE","FT","Data Science Manager",144000,"USD",144000,"US",100,"US","L",69.4023875,140000,"Remote"
155,2021,"SE","FT","Data Science Engineer",159500,"CAD",127221,"CA",50,"CA","L",73.50833,120000,"Hybrid"
157,2021,"MI","FT","Applied Machine Learning Scientist",423000,"USD",423000,"US",50,"US","L",69.4023875,420000,"Hybrid"
158,2021,"SE","FT","Data Analytics Manager",120000,"USD",120000,"US",100,"US","M",69.4023875,120000,"Remote"
159,2021,"EN","FT","Machine Learning Engineer",125000,"USD",125000,"US",100,"US","S",69.4023875,120000,"Remote"
163,2021,"EN","FT","Data Science Consultant",54000,"EUR",63831,"DE",50,"DE","L",75.5858925,60000,"Hybrid"
164,2021,"EX","FT","Director of Data Science",110000,"EUR",130026,"DE",50,"DE","M",75.5858925,130000,"Hybrid"
165,2021,"SE","FT","Data Specialist",165000,"USD",165000,"US",100,"US","L",69.4023875,160000,"Remote"
166,2021,"EN","FT","Data Engineer",80000,"USD",80000,"US",100,"US","L",69.4023875,80000,"Remote"
167,2021,"EX","FT","Director of Data Science",250000,"USD",250000,"US",0,"US","L",69.4023875,250000,"In Person"
168,2021,"EN","FT","BI Data Analyst",55000,"USD",55000,"US",50,"US","S",69.4023875,50000,"Hybrid"
169,2021,"MI","FT","Data Architect",150000,"USD",150000,"US",100,"US","L",69.4023875,150000,"Remote"
170,2021,"MI","FT","Data Architect",170000,"USD",170000,"US",100,"US","L",69.4023875,170000,"Remote"
171,2021,"MI","FT","Data Engineer",60000,"GBP",82528,"GB",100,"GB","L",75.123565,80000,"Remote"
172,2021,"EN","FT","Data Analyst",60000,"USD",60000,"US",100,"US","S",69.4023875,60000,"Remote"
173,2021,"SE","FT","Principal Data Scientist",235000,"USD",235000,"US",100,"US","L",69.4023875,230000,"Remote"
175,2021,"SE","FT","Data Engineering Manager",174000,"USD",174000,"US",100,"US","L",69.4023875,170000,"Remote"
178,2021,"EN","FT","Machine Learning Engineer",81000,"USD",81000,"US",50,"US","S",69.4023875,80000,"Hybrid"
179,2021,"MI","FT","Data Scientist",420000,"INR",5679,"IN",100,"US","S",69.4023875,0,"Remote"
181,2021,"MI","FT","Data Scientist",76760,"EUR",90734,"DE",50,"DE","L",75.5858925,90000,"Hybrid"
182,2021,"MI","FT","Data Engineer",22000,"EUR",26005,"RO",0,"US","L",69.4023875,20000,"In Person"
183,2021,"SE","FT","Finance Data Analyst",45000,"GBP",61896,"GB",50,"GB","L",75.123565,60000,"Hybrid"
186,2021,"SE","FT","Data Analytics Engineer",50000,"USD",50000,"VN",100,"GB","M",75.123565,50000,"Remote"
188,2021,"SE","FT","Data Engineer",65000,"EUR",76833,"RO",50,"GB","S",75.123565,70000,"Hybrid"
189,2021,"MI","FT","Machine Learning Engineer",74000,"USD",74000,"JP",50,"JP","S",77.8797425,70000,"Hybrid"
190,2021,"SE","FT","Data Science Manager",152000,"USD",152000,"US",100,"FR","L",67.245315,150000,"Remote"
193,2021,"SE","FT","Data Science Manager",174000,"USD",174000,"US",100,"US","L",69.4023875,170000,"Remote"
194,2021,"SE","FT","Research Scientist",120500,"CAD",96113,"CA",50,"CA","L",73.50833,90000,"Hybrid"
195,2021,"MI","FT","Data Scientist",147000,"USD",147000,"US",50,"US","L",69.4023875,140000,"Hybrid"
198,2021,"SE","FT","Data Science Manager",4000000,"INR",54094,"IN",50,"US","L",69.4023875,50000,"Hybrid"
199,2021,"EN","FT","Data Science Consultant",90000,"USD",90000,"US",100,"US","S",69.4023875,90000,"Remote"
201,2021,"SE","FT","Machine Learning Infrastructure Engineer",195000,"USD",195000,"US",100,"US","M",69.4023875,190000,"Remote"
203,2021,"SE","FT","Research Scientist",50000,"USD",50000,"FR",100,"US","S",69.4023875,50000,"Remote"
204,2021,"MI","FT","Data Scientist",160000,"USD",160000,"US",100,"US","L",69.4023875,160000,"Remote"
206,2021,"SE","FT","Machine Learning Engineer",200000,"USD",200000,"US",100,"US","L",69.4023875,2e+05,"Remote"
207,2021,"SE","FT","Data Engineer",165000,"USD",165000,"US",0,"US","M",69.4023875,160000,"In Person"
208,2021,"MI","FL","Data Engineer",20000,"USD",20000,"IT",0,"US","L",69.4023875,20000,"In Person"
209,2021,"SE","FT","Data Analytics Manager",120000,"USD",120000,"US",0,"US","L",69.4023875,120000,"In Person"
211,2021,"MI","FT","Research Scientist",48000,"EUR",56738,"FR",50,"FR","S",67.245315,50000,"Hybrid"
212,2021,"MI","FT","Data Engineer",48000,"GBP",66022,"HK",50,"GB","S",75.123565,60000,"Hybrid"
214,2021,"EN","FT","Machine Learning Engineer",21000,"EUR",24823,"DE",50,"DE","M",75.5858925,20000,"Hybrid"
215,2021,"SE","FT","Principal Data Engineer",185000,"USD",185000,"US",100,"US","L",69.4023875,180000,"Remote"
217,2021,"MI","FT","Data Scientist",76760,"EUR",90734,"DE",50,"DE","L",75.5858925,90000,"Hybrid"
219,2021,"SE","FT","Data Analytics Manager",140000,"USD",140000,"US",100,"US","L",69.4023875,140000,"Remote"
221,2021,"MI","FT","Data Scientist",85000,"GBP",116914,"GB",50,"GB","L",75.123565,110000,"Hybrid"
223,2021,"MI","FT","Data Scientist",40900,"GBP",56256,"GB",50,"GB","L",75.123565,50000,"Hybrid"
224,2021,"SE","FT","Machine Learning Scientist",225000,"USD",225000,"US",100,"CA","L",73.50833,220000,"Remote"
225,2021,"EX","CT","Principal Data Scientist",416000,"USD",416000,"US",100,"US","S",69.4023875,410000,"Remote"
226,2021,"SE","FT","Data Scientist",110000,"CAD",87738,"CA",100,"CA","S",73.50833,80000,"Remote"
227,2021,"MI","FT","Data Scientist",75000,"EUR",88654,"DE",50,"DE","L",75.5858925,80000,"Hybrid"
228,2021,"SE","FT","Data Scientist",135000,"USD",135000,"US",0,"US","L",69.4023875,130000,"In Person"
229,2021,"SE","FT","Data Analyst",90000,"CAD",71786,"CA",100,"CA","M",73.50833,70000,"Remote"
231,2021,"SE","FT","ML Engineer",256000,"USD",256000,"US",100,"US","S",69.4023875,250000,"Remote"
232,2021,"SE","FT","Director of Data Engineering",200000,"USD",200000,"US",100,"US","L",69.4023875,2e+05,"Remote"
233,2021,"SE","FT","Data Analyst",200000,"USD",200000,"US",100,"US","L",69.4023875,2e+05,"Remote"
234,2021,"MI","FT","Data Architect",180000,"USD",180000,"US",100,"US","L",69.4023875,180000,"Remote"
235,2021,"MI","FT","Head of Data Science",110000,"USD",110000,"US",0,"US","S",69.4023875,110000,"In Person"
236,2021,"MI","FT","Research Scientist",80000,"CAD",63810,"CA",100,"CA","M",73.50833,60000,"Remote"
240,2021,"SE","FT","Data Scientist",130000,"CAD",103691,"CA",100,"CA","L",73.50833,1e+05,"Remote"
241,2021,"MI","FT","Data Analyst",80000,"USD",80000,"US",100,"US","L",69.4023875,80000,"Remote"
242,2021,"MI","FT","Data Engineer",110000,"USD",110000,"US",100,"US","L",69.4023875,110000,"Remote"
243,2021,"SE","FT","Data Scientist",165000,"USD",165000,"US",100,"US","L",69.4023875,160000,"Remote"
245,2021,"MI","FT","Data Engineer",52500,"GBP",72212,"GB",50,"GB","L",75.123565,70000,"Hybrid"
246,2021,"EN","FT","Data Scientist",31000,"EUR",36643,"FR",50,"FR","L",67.245315,30000,"Hybrid"
248,2021,"SE","FT","Data Engineer",70000,"GBP",96282,"GB",50,"GB","L",75.123565,90000,"Hybrid"
249,2021,"SE","FT","Principal Data Analyst",170000,"USD",170000,"US",100,"US","M",69.4023875,170000,"Remote"
250,2021,"MI","FT","Data Scientist",115000,"USD",115000,"US",50,"US","L",69.4023875,110000,"Hybrid"
251,2021,"EN","FT","Data Scientist",90000,"USD",90000,"US",100,"US","S",69.4023875,90000,"Remote"
252,2021,"EX","FT","Principal Data Engineer",600000,"USD",600000,"US",100,"US","L",69.4023875,6e+05,"Remote"
254,2021,"MI","FT","Data Analyst",93000,"USD",93000,"US",100,"US","L",69.4023875,90000,"Remote"
255,2021,"SE","FT","Big Data Architect",125000,"CAD",99703,"CA",50,"CA","M",73.50833,90000,"Hybrid"
256,2021,"MI","FT","Data Engineer",200000,"USD",200000,"US",100,"US","L",69.4023875,2e+05,"Remote"
257,2021,"SE","FT","Principal Data Scientist",147000,"EUR",173762,"DE",100,"DE","M",75.5858925,170000,"Remote"
258,2021,"SE","FT","Machine Learning Engineer",185000,"USD",185000,"US",50,"US","L",69.4023875,180000,"Hybrid"
259,2021,"EX","FT","Director of Data Science",120000,"EUR",141846,"DE",0,"DE","L",75.5858925,140000,"In Person"
260,2021,"MI","FT","Data Scientist",130000,"USD",130000,"US",50,"US","L",69.4023875,130000,"Hybrid"
261,2021,"SE","FT","Data Analyst",54000,"EUR",63831,"DE",50,"DE","L",75.5858925,60000,"Hybrid"
264,2021,"MI","FT","Data Scientist",21600,"EUR",25532,"RS",100,"DE","S",75.5858925,20000,"Remote"
265,2021,"SE","FT","Lead Data Engineer",160000,"USD",160000,"PR",50,"US","S",69.4023875,160000,"Hybrid"
266,2021,"MI","FT","Data Engineer",93150,"USD",93150,"US",0,"US","M",69.4023875,90000,"In Person"
267,2021,"MI","FT","Data Engineer",111775,"USD",111775,"US",0,"US","M",69.4023875,110000,"In Person"
269,2021,"EN","FT","Data Engineer",55000,"EUR",65013,"DE",50,"DE","M",75.5858925,60000,"Hybrid"
270,2021,"EN","FT","Data Engineer",72500,"USD",72500,"US",100,"US","L",69.4023875,70000,"Remote"
272,2021,"EN","FT","Data Science Consultant",65000,"EUR",76833,"DE",0,"DE","L",75.5858925,70000,"In Person"
273,2021,"EN","FT","Machine Learning Engineer",85000,"USD",85000,"NL",100,"DE","S",75.5858925,80000,"Remote"
274,2021,"SE","FT","Data Scientist",65720,"EUR",77684,"FR",50,"FR","M",67.245315,70000,"Hybrid"
275,2021,"EN","FT","Data Scientist",100000,"USD",100000,"US",100,"US","M",69.4023875,1e+05,"Remote"
276,2021,"EN","FT","Data Scientist",58000,"USD",58000,"US",50,"US","L",69.4023875,50000,"Hybrid"
280,2021,"MI","FT","Data Engineer",112000,"USD",112000,"US",100,"US","L",69.4023875,110000,"Remote"
283,2021,"SE","CT","Staff Data Scientist",105000,"USD",105000,"US",100,"US","M",69.4023875,1e+05,"Remote"
287,2021,"MI","FT","Data Scientist",109000,"USD",109000,"US",50,"US","L",69.4023875,1e+05,"Hybrid"
289,2022,"SE","FT","Data Engineer",135000,"USD",135000,"US",100,"US","M",71.2610225,130000,"Remote"
290,2022,"SE","FT","Data Analyst",155000,"USD",155000,"US",100,"US","M",71.2610225,150000,"Remote"
291,2022,"SE","FT","Data Analyst",120600,"USD",120600,"US",100,"US","M",71.2610225,120000,"Remote"
292,2022,"MI","FT","Data Scientist",130000,"USD",130000,"US",0,"US","M",71.2610225,130000,"In Person"
293,2022,"MI","FT","Data Scientist",90000,"USD",90000,"US",0,"US","M",71.2610225,90000,"In Person"
294,2022,"MI","FT","Data Engineer",170000,"USD",170000,"US",100,"US","M",71.2610225,170000,"Remote"
295,2022,"MI","FT","Data Engineer",150000,"USD",150000,"US",100,"US","M",71.2610225,150000,"Remote"
296,2022,"SE","FT","Data Analyst",102100,"USD",102100,"US",100,"US","M",71.2610225,1e+05,"Remote"
297,2022,"SE","FT","Data Analyst",84900,"USD",84900,"US",100,"US","M",71.2610225,80000,"Remote"
298,2022,"SE","FT","Data Scientist",136620,"USD",136620,"US",100,"US","M",71.2610225,130000,"Remote"
299,2022,"SE","FT","Data Scientist",99360,"USD",99360,"US",100,"US","M",71.2610225,90000,"Remote"
300,2022,"SE","FT","Data Scientist",90000,"GBP",117789,"GB",0,"GB","M",75.56232,110000,"In Person"
301,2022,"SE","FT","Data Scientist",80000,"GBP",104702,"GB",0,"GB","M",75.56232,1e+05,"In Person"
302,2022,"SE","FT","Data Scientist",146000,"USD",146000,"US",100,"US","M",71.2610225,140000,"Remote"
303,2022,"SE","FT","Data Scientist",123000,"USD",123000,"US",100,"US","M",71.2610225,120000,"Remote"
304,2022,"EN","FT","Data Engineer",40000,"GBP",52351,"GB",100,"GB","M",75.56232,50000,"Remote"
305,2022,"SE","FT","Data Analyst",99000,"USD",99000,"US",0,"US","M",71.2610225,90000,"In Person"
306,2022,"SE","FT","Data Analyst",116000,"USD",116000,"US",0,"US","M",71.2610225,110000,"In Person"
307,2022,"MI","FT","Data Analyst",106260,"USD",106260,"US",0,"US","M",71.2610225,1e+05,"In Person"
308,2022,"MI","FT","Data Analyst",126500,"USD",126500,"US",0,"US","M",71.2610225,120000,"In Person"
309,2022,"EX","FT","Data Engineer",242000,"USD",242000,"US",100,"US","M",71.2610225,240000,"Remote"
310,2022,"EX","FT","Data Engineer",200000,"USD",200000,"US",100,"US","M",71.2610225,2e+05,"Remote"
311,2022,"MI","FT","Data Scientist",50000,"GBP",65438,"GB",0,"GB","M",75.56232,60000,"In Person"
312,2022,"MI","FT","Data Scientist",30000,"GBP",39263,"GB",0,"GB","M",75.56232,30000,"In Person"
313,2022,"MI","FT","Data Engineer",60000,"GBP",78526,"GB",0,"GB","M",75.56232,70000,"In Person"
314,2022,"MI","FT","Data Engineer",40000,"GBP",52351,"GB",0,"GB","M",75.56232,50000,"In Person"
315,2022,"SE","FT","Data Scientist",165220,"USD",165220,"US",100,"US","M",71.2610225,160000,"Remote"
316,2022,"EN","FT","Data Engineer",35000,"GBP",45807,"GB",100,"GB","M",75.56232,40000,"Remote"
317,2022,"SE","FT","Data Scientist",120160,"USD",120160,"US",100,"US","M",71.2610225,120000,"Remote"
318,2022,"SE","FT","Data Analyst",90320,"USD",90320,"US",100,"US","M",71.2610225,90000,"Remote"
319,2022,"SE","FT","Data Engineer",181940,"USD",181940,"US",0,"US","M",71.2610225,180000,"In Person"
320,2022,"SE","FT","Data Engineer",132320,"USD",132320,"US",0,"US","M",71.2610225,130000,"In Person"
321,2022,"SE","FT","Data Engineer",220110,"USD",220110,"US",0,"US","M",71.2610225,220000,"In Person"
322,2022,"SE","FT","Data Engineer",160080,"USD",160080,"US",0,"US","M",71.2610225,160000,"In Person"
323,2022,"SE","FT","Data Scientist",180000,"USD",180000,"US",0,"US","L",71.2610225,180000,"In Person"
324,2022,"SE","FT","Data Scientist",120000,"USD",120000,"US",0,"US","L",71.2610225,120000,"In Person"
325,2022,"SE","FT","Data Analyst",124190,"USD",124190,"US",100,"US","M",71.2610225,120000,"Remote"
326,2022,"EX","FT","Data Analyst",130000,"USD",130000,"US",100,"US","M",71.2610225,130000,"Remote"
327,2022,"EX","FT","Data Analyst",110000,"USD",110000,"US",100,"US","M",71.2610225,110000,"Remote"
328,2022,"SE","FT","Data Analyst",170000,"USD",170000,"US",100,"US","M",71.2610225,170000,"Remote"
329,2022,"MI","FT","Data Analyst",115500,"USD",115500,"US",100,"US","M",71.2610225,110000,"Remote"
330,2022,"SE","FT","Data Analyst",112900,"USD",112900,"US",100,"US","M",71.2610225,110000,"Remote"
331,2022,"SE","FT","Data Analyst",90320,"USD",90320,"US",100,"US","M",71.2610225,90000,"Remote"
332,2022,"SE","FT","Data Analyst",112900,"USD",112900,"US",100,"US","M",71.2610225,110000,"Remote"
